Game Date,Away Team,Away Record,Away Score,Home Team,Home Record,Home Score,Away 1st,Home 1st,YRFI
2025-03-27,Chicago Cubs,1-2,10.0,Arizona Diamondbacks,0-1,6.0,0.0,1.0,1
2025-03-27,Los Angeles Angels,0-1,1.0,Chicago White Sox,1-0,8.0,0.0,0.0,0
2025-03-27,San Francisco Giants,1-0,6.0,Cincinnati Reds,0-1,4.0,0.0,1.0,1
2025-03-27,New York Mets,0-1,1.0,Houston Astros,1-0,3.0,0.0,0.0,0
2025-03-27,Cleveland Guardians,1-0,7.0,Kansas City Royals,0-1,4.0,0.0,0.0,0
2025-03-27,Detroit Tigers,0-1,4.0,Los Angeles Dodgers,3-0,5.0,0.0,0.0,0
2025-03-27,Pittsburgh Pirates,0-1,4.0,Miami Marlins,1-0,5.0,0.0,0.0,0
2025-03-27,Milwaukee Brewers,0-1,2.0,New York Yankees,1-0,4.0,0.0,1.0,1
2025-03-27,Atlanta Braves,0-1,4.0,San Diego Padres,1-0,7.0,1.0,2.0,1
2025-03-27,Athletics,0-1,2.0,Seattle Mariners,1-0,4.0,0.0,0.0,0
2025-03-27,Minnesota Twins,0-1,3.0,St. Louis Cardinals,1-0,5.0,0.0,1.0,1
2025-03-27,Boston Red Sox,1-0,5.0,Texas Rangers,0-1,2.0,0.0,0.0,0
2025-03-27,Baltimore Orioles,1-0,12.0,Toronto Blue Jays,0-1,2.0,1.0,0.0,1
2025-03-27,Philadelphia Phillies,1-0,7.0,Washington Nationals,0-1,3.0,0.0,0.0,0
2025-03-28,Chicago Cubs,1-3,1.0,Arizona Diamondbacks,1-1,8.0,0.0,0.0,0
2025-03-28,New York Mets,1-1,3.0,Houston Astros,1-1,1.0,0.0,0.0,0
2025-03-28,Detroit Tigers,0-2,5.0,Los Angeles Dodgers,4-0,8.0,0.0,0.0,0
2025-03-28,Pittsburgh Pirates,1-1,4.0,Miami Marlins,1-1,3.0,0.0,0.0,0
2025-03-28,Atlanta Braves,0-2,3.0,San Diego Padres,2-0,4.0,0.0,1.0,1
2025-03-28,Athletics,1-1,7.0,Seattle Mariners,1-1,0.0,0.0,0.0,0
2025-03-28,Colorado Rockies,0-1,2.0,Tampa Bay Rays,1-0,3.0,0.0,0.0,0
2025-03-28,Boston Red Sox,1-1,1.0,Texas Rangers,1-1,4.0,0.0,0.0,0
2025-03-28,Baltimore Orioles,1-1,2.0,Toronto Blue Jays,1-1,8.0,0.0,0.0,0
2025-03-29,Chicago Cubs,2-3,4.0,Arizona Diamondbacks,1-2,3.0,0.0,0.0,0
2025-03-29,Los Angeles Angels,1-1,1.0,Chicago White Sox,1-1,0.0,0.0,0.0,0
2025-03-29,San Francisco Giants,1-1,2.0,Cincinnati Reds,1-1,3.0,0.0,0.0,0
2025-03-29,New York Mets,1-2,1.0,Houston Astros,2-1,2.0,0.0,0.0,0
2025-03-29,Cleveland Guardians,1-1,3.0,Kansas City Royals,1-1,4.0,0.0,0.0,0
2025-03-29,Detroit Tigers,0-3,3.0,Los Angeles Dodgers,5-0,7.0,2.0,1.0,1
2025-03-29,Pittsburgh Pirates,1-2,4.0,Miami Marlins,2-1,5.0,1.0,0.0,1
2025-03-29,Milwaukee Brewers,0-2,9.0,New York Yankees,2-0,20.0,0.0,4.0,1
2025-03-29,Atlanta Braves,0-3,0.0,San Diego Padres,3-0,1.0,0.0,0.0,0
2025-03-29,Athletics,2-1,4.0,Seattle Mariners,1-2,2.0,0.0,0.0,0
2025-03-29,Minnesota Twins,0-2,1.0,St. Louis Cardinals,2-0,5.0,0.0,1.0,1
2025-03-29,Colorado Rockies,1-1,2.0,Tampa Bay Rays,1-1,1.0,0.0,0.0,0
2025-03-29,Boston Red Sox,1-2,3.0,Texas Rangers,2-1,4.0,0.0,2.0,1
2025-03-29,Baltimore Orioles,2-1,9.0,Toronto Blue Jays,1-2,5.0,2.0,2.0,1
2025-03-29,Philadelphia Phillies,2-0,11.0,Washington Nationals,0-2,6.0,0.0,0.0,0
2025-03-30,Chicago Cubs,2-4,6.0,Arizona Diamondbacks,2-2,10.0,0.0,0.0,0
2025-03-30,Los Angeles Angels,2-1,3.0,Chicago White Sox,1-2,2.0,2.0,2.0,1
2025-03-30,San Francisco Giants,2-1,6.0,Cincinnati Reds,1-2,3.0,0.0,0.0,0
2025-03-30,Cleveland Guardians,2-1,6.0,Kansas City Royals,1-2,2.0,0.0,0.0,0
2025-03-30,Pittsburgh Pirates,1-3,2.0,Miami Marlins,3-1,3.0,0.0,0.0,0
2025-03-30,Milwaukee Brewers,0-3,3.0,New York Yankees,3-0,12.0,1.0,2.0,1
