,"Thu 3/27","Fri 3/28","Sat 3/29","Sun 3/30","Mon 3/31","Tue 4/1","Wed 4/2","Thu 4/3","Fri 4/4","Sat 4/5","Sun 4/6","Mon 4/7","Tue 4/8","Wed 4/9","Thu 4/10","Fri 4/11","Sat 4/12","Sun 4/13","Mon 4/14","Tue 4/15","Wed 4/16","Thu 4/17","Fri 4/18","Sat 4/19","Sun 4/20","Mon 4/21","Tue 4/22","Wed 4/23"
ARI,"Z. Gallen (R)","M. Kelly (R)","B. Pfaadt (R)","E. Rodriguez (L)","OFF DAY","C. Burnes (R)","Z. Gallen (R)","M. Kelly (R)","B. Pfaadt (R)","E. Rodriguez (L)","C. Burnes (R)","Z. Gallen (R)","M. Kelly (R)","B. Pfaadt (R)","OFF DAY","E. Rodriguez (L)","C. Burnes (R)","Z. Gallen (R)","OFF DAY","M. Kelly (R)","B. Pfaadt (R)","E. Rodriguez (L)","C. Burnes (R)","Z. Gallen (R)","M. Kelly (R)","OFF DAY","B. Pfaadt (R)","E. Rodriguez (L)"
game,"L6-10 vs CHC","W8-1 vs CHC","L3-4 vs CHC","W10-6 vs CHC",,"W7-5 @ NYY","W4-3 @ NYY","L7-9 @ NYY","W6-4 @ WSH","L3-4 @ WSH","L4-5 @ WSH","L1-5 vs BAL","W4-3 vs BAL","W9-0 vs BAL",,"L0-7 vs MIL","W5-4 vs MIL","W5-2 vs MIL",,"W10-4 @ MIA","W6-2 @ MIA","W6-4 @ MIA","L11-13 @ CHC","L2-6 @ CHC","Sun 2:20pm @ CHC",,"Tue 9:40pm vs TB","Wed 9:40pm vs TB"
stats,"1-2 4.64 ERA","3-1 5.57 ERA","3-1 3.04 ERA","1-2 4.09 ERA",,"0-1 4.64 ERA","1-2 4.64 ERA","3-1 5.57 ERA","3-1 3.04 ERA","1-2 4.09 ERA","0-1 4.64 ERA","1-2 4.64 ERA","3-1 5.57 ERA","3-1 3.04 ERA",,"1-2 4.09 ERA","0-1 4.64 ERA","1-2 4.64 ERA",,"3-1 5.57 ERA","3-1 3.04 ERA","1-2 4.09 ERA","0-1 4.64 ERA","1-2 4.64 ERA","3-1 5.57 ERA",,"3-1 3.04 ERA","1-2 4.09 ERA"

ATH,"L. Severino (R)","J. Springs (L)","O. Bido (R)","J. Sears (L)","J. Estes (R)","L. Severino (R)","J. Springs (L)","OFF DAY","O. Bido (R)","J. Sears (L)","J. Estes (R)","L. Severino (R)","J. Springs (L)","O. Bido (R)","OFF DAY","J. Sears (L)","J. Ginn (R)","L. Severino (R)","OFF DAY","J. Springs (L)","O. Bido (R)","J. Sears (L)","J. Ginn (R)","L. Severino (R)","J. Springs (L)","OFF DAY","O. Bido (R)","J. Sears (L)"
game,"L2-4 @ SEA","W7-0 @ SEA","W4-2 @ SEA","L1-2 @ SEA","L3-18 vs CHC","L4-7 vs CHC","L2-10 vs CHC",,"W6-3 @ COL","W7-4 @ COL","L5-12 @ COL","L4-5 vs SD","W10-4 vs SD","L1-2 vs SD",,"L6-7 vs NYM","W3-1 vs NYM","L0-8 vs NYM",,"W12-3 @ CWS","W3-1 @ CWS","W8-0 @ CWS","L3-5 @ MIL","Sat 7:10pm @ MIL","Sun 2:10pm @ MIL",,"Tue 10:05pm vs TEX","Wed 10:05pm vs TEX"
stats,"0-3 4.01 ERA","3-1 4.50 ERA","2-1 2.61 ERA","2-2 3.13 ERA","0-2 15.43 ERA","0-3 4.01 ERA","3-1 4.50 ERA",,"2-1 2.61 ERA","2-2 3.13 ERA","0-2 15.43 ERA","0-3 4.01 ERA","3-1 4.50 ERA","2-1 2.61 ERA",,"2-2 3.13 ERA","1-1 3.60 ERA","0-3 4.01 ERA",,"3-1 4.50 ERA","2-1 2.61 ERA","2-2 3.13 ERA","1-1 3.60 ERA","0-3 4.01 ERA","3-1 4.50 ERA",,"2-1 2.61 ERA","2-2 3.13 ERA"

ATL,"C. Sale (L)","R. Lopez (R)","S. Schwellenbach (R)","A. Smith-Shawver (R)","G. Holmes (R)","C. Sale (L)","B. Elder (R)","OFF DAY","S. Schwellenbach (R)","A. Smith-Shawver (R)",POSTPONED,"OFF DAY","C. Sale (L)","G. Holmes (R)","S. Schwellenbach (R)","B. Elder (R)","A. Smith-Shawver (R)","C. Sale (L)","G. Holmes (R)","S. Schwellenbach (R)","S. Strider (R)","OFF DAY","B. Elder (R)","C. Sale (L)","G. Holmes (R)","S. Schwellenbach (R)","S. Strider (R)","B. Elder (R)"
game,"L4-7 @ SD","L3-4 @ SD","L0-1 @ SD","L0-5 @ SD","L1-6 @ LAD","L1-3 @ LAD","L5-6 @ LAD",,"W10-0 vs MIA","L0-4 vs MIA","Sun 1:35pm vs MIA",,"W7-5 vs PHI","L3-4 vs PHI","W4-2 vs PHI","L3-6 @ TB","W5-4 @ TB","L3-8 @ TB","W8-4 @ TOR","L3-6 @ TOR","L1-3 @ TOR",,"W6-4 vs MIN","Sat 7:15pm vs MIN","Sun 1:35pm vs MIN","Mon 7:15pm vs STL","Tue 7:15pm vs STL","Wed 12:15pm vs STL"
stats,"0-2 6.63 ERA","0-0 5.40 ERA","1-1 2.55 ERA","0-2 4.61 ERA","1-1 3.78 ERA","0-2 6.63 ERA","0-1 7.20 ERA",,"1-1 2.55 ERA","0-2 4.61 ERA",,,"0-2 6.63 ERA","1-1 3.78 ERA","1-1 2.55 ERA","0-1 7.20 ERA","0-2 4.61 ERA","0-2 6.63 ERA","1-1 3.78 ERA","1-1 2.55 ERA","0-1 3.60 ERA",,"0-1 7.20 ERA","0-2 6.63 ERA","1-1 3.78 ERA","1-1 2.55 ERA","0-1 3.60 ERA","0-1 7.20 ERA"

BAL,"Z. Eflin (R)","C. Morton (R)","D. Kremer (R)","T. Sugano (R)","C. Povich (L)","OFF DAY","Z. Eflin (R)","C. Morton (R)","D. Kremer (R)","T. Sugano (R)","C. Povich (L)","Z. Eflin (R)","C. Morton (R)","D. Kremer (R)","OFF DAY",POSTPONED,"T. Sugano (R)","C. Povich (L)","OFF DAY","C. Morton (R)","D. Kremer (R)","T. Sugano (R)","C. Povich (L)","B. Young (R)","C. Morton (R)","OFF DAY","D. Kremer (R)","T. Sugano (R)"
game,"W12-2 @ TOR","L2-8 @ TOR","W9-5 @ TOR","L1-3 @ TOR","W8-5 vs BOS",,"L0-3 vs BOS","L4-8 vs BOS","L2-8 @ KC","W8-1 @ KC","L1-4 @ KC","W5-1 @ ARI","L3-4 @ ARI","L0-9 @ ARI",,"Fri 7:05pm vs TOR","W5-4 vs TOR","L6-7 vs TOR",,"L3-6 vs CLE","W9-1 vs CLE","W6-2 vs CLE","L3-8 vs CIN","Sat 4:05pm vs CIN","Sun 1:35pm vs CIN",,"Tue 6:45pm @ WSH","Wed 6:45pm @ WSH"
stats,"2-1 3.00 ERA","0-4 8.84 ERA","2-2 6.41 ERA","2-1 3.43 ERA","0-2 6.38 ERA",,"2-1 3.00 ERA","0-4 8.84 ERA","2-2 6.41 ERA","2-1 3.43 ERA","0-2 6.38 ERA","2-1 3.00 ERA","0-4 8.84 ERA","2-2 6.41 ERA",,,"2-1 3.43 ERA","0-2 6.38 ERA",,"0-4 8.84 ERA","2-2 6.41 ERA","2-1 3.43 ERA","0-2 6.38 ERA","0-0 0.00 ERA","0-4 8.84 ERA",,"2-2 6.41 ERA","2-1 3.43 ERA"

BOS,"G. Crochet (L)","T. Houck (R)","W. Buehler (R)","R. Fitts (R)","S. Newcomb (L)","OFF DAY","G. Crochet (L)","T. Houck (R)","W. Buehler (R)",POSTPONED,"S. Newcomb (L)","R. Fitts (R)","G. Crochet (L)","T. Houck (R)","W. Buehler (R)","S. Newcomb (L)","R. Fitts (R)","G. Crochet (L)","T. Houck (R)","W. Buehler (R)","S. Newcomb (L)","OFF DAY","H. Dobbins (R)","G. Crochet (L)","T. Houck (R)","W. Buehler (R)","B. Bello (R)","S. Newcomb (L)"
game,"W5-2 @ TEX","L1-4 @ TEX","L3-4 @ TEX","L2-3 @ TEX","L5-8 @ BAL",,"W3-0 @ BAL","W8-4 @ BAL","W13-9 vs STL","Sat 4:10pm vs STL","W5-4 vs STL","L2-6 vs TOR","L1-6 vs TOR","L1-2 vs TOR","W4-3 vs TOR","L1-11 @ CWS","L2-3 @ CWS","W3-1 @ CWS","L1-16 @ TB","W7-4 @ TB","W1-0 @ TB",,"W10-3 vs CWS","Sat 4:10pm vs CWS","Sun 1:35pm vs CWS","Mon 11:10am vs CWS","Tue 6:45pm vs SEA","Wed 6:45pm vs SEA"
