Game Date,Away Team,Home Team
2025-04-20,GAME,CHC
2025-04-20,GAME,MIL
2025-04-20,MIN,GAME
2025-04-20,CIN,GAME
2025-04-20,CWS,GAME
2025-04-20,ARI,GAME
2025-04-20,GAME,BAL
2025-04-20,GAME,PIT
2025-04-20,WSH,GAME
2025-04-20,WSH,GAME
2025-04-20,GAME,BOS
2025-04-20,KC,GAME
2025-04-20,SD,GAME
2025-04-20,GAME,DET
2025-04-20,SF,GAME
2025-04-20,GAME,TEX
2025-04-20,GAME,PHI
2025-04-20,ATH,GAME
2025-04-20,GAME,ATL
2025-04-20,STL,GAME
2025-04-20,GAME,TB
2025-04-20,MIA,GAME
2025-04-20,CLE,GAME
2025-04-20,GAME,HOU
2025-04-20,GAME,TOR
2025-04-20,GAME,LAA
2025-04-20,GAME,NYM
2025-04-20,NYY,GAME
2025-04-20,LAD,GAME
2025-04-20,SEA,GAME
2025-04-20,GAME,COL
2025-04-20,GAME,COL
2025-04-21,STL,GAME
2025-04-21,CWS,GAME
2025-04-21,GAME,MIA
2025-04-21,NYY,GAME
2025-04-21,GAME,BOS
2025-04-21,SD,GAME
2025-04-21,TOR,GAME
2025-04-21,CIN,GAME
2025-04-21,GAME,SF
2025-04-21,PHI,GAME
2025-04-21,GAME,CLE
2025-04-21,GAME,NYM
2025-04-21,GAME,DET
2025-04-21,MIL,GAME
2025-04-21,GAME,ATL
2025-04-21,GAME,HOU
