date,away_team,home_team,away_starter,away_hand,home_starter,home_hand,Away 1st,Home 1st,yrfi
2025-03-27,Chicago Cubs,Arizona Diamondbacks,J. Steele (L),L,Z. Gallen (R),R,0.0,1.0,1
2025-03-27,Los Angeles Angels,Chicago White Sox,Y. Kikuchi (L),L,S. Burke (R),R,0.0,0.0,0
2025-03-27,San Francisco Giants,Cincinnati Reds,L. Webb (R),R,H. Greene (R),R,0.0,1.0,1
2025-03-27,New York Mets,Houston Astros,C. Holmes (R),R,F. Valdez (L),L,0.0,0.0,0
2025-03-27,Cleveland Guardians,Kansas City Royals,B. Lively (R),R,C. Ragans (L),L,0.0,0.0,0
2025-03-27,Detroit Tigers,Los Angeles Dodgers,T. Skubal (L),L,B. Snell (L),L,0.0,0.0,0
2025-03-27,Pittsburgh Pirates,Miami Marlins,P. Skenes (R),R,S. Alcantara (R),R,0.0,0.0,0
2025-03-27,Milwaukee Brewers,New York Yankees,F. Peralta (R),R,C. Rodon (L),L,0.0,1.0,1
2025-03-27,Atlanta Braves,San Diego Padres,C. Sale (L),L,M. King (R),R,1.0,2.0,1
2025-03-27,Minnesota Twins,St. Louis Cardinals,P. Lopez (R),R,S. Gray (R),R,0.0,1.0,1
2025-03-27,Boston Red Sox,Texas Rangers,G. Crochet (L),L,N. Eovaldi (R),R,0.0,0.0,0
2025-03-27,Baltimore Orioles,Toronto Blue Jays,Z. Eflin (R),R,J. Berrios (R),R,1.0,0.0,1
2025-03-27,Philadelphia Phillies,Washington Nationals,Z. Wheeler (R),R,M. Gore (L),L,0.0,0.0,0
2025-03-28,Chicago Cubs,Arizona Diamondbacks,J. Taillon (R),R,M. Kelly (R),R,0.0,0.0,0
2025-03-28,New York Mets,Houston Astros,T. Megill (R),R,H. Brown (R),R,0.0,0.0,0
2025-03-28,Detroit Tigers,Los Angeles Dodgers,J. Flaherty (R),R,Y. Yamamoto (R),R,0.0,0.0,0
2025-03-28,Pittsburgh Pirates,Miami Marlins,M. Keller (R),R,C. Gillispie (R),R,0.0,0.0,0
2025-03-28,Atlanta Braves,San Diego Padres,R. Lopez (R),R,D. Cease (R),R,0.0,1.0,1
2025-03-28,Colorado Rockies,Tampa Bay Rays,K. Freeland (L),L,R. Pepiot (R),R,0.0,0.0,0
2025-03-28,Boston Red Sox,Texas Rangers,T. Houck (R),R,J. Leiter (R),R,0.0,0.0,0
