date,Away Team,Away Record,Away Score,Home Team,Home Record,Home Score,Away 1st_x,Home 1st_x,YRFI,away_team,home_team,away_starter,away_hand,home_starter,home_hand,Away 1st_y,Home 1st_y,home_starter_clean,home_era,away_starter_clean,away_era,day_of_week,same_hand
2025-03-27,Chicago Cubs,1-2,10.0,Arizona Diamondbacks,0-1,6.0,0.0,1.0,1,Chicago Cubs,Arizona Diamondbacks,M. Boyd (L),L,E. Rodriguez (L),L,0.0,0.0,E. Rodriguez,4.09,M. Boyd,2.01,3,1
2025-03-27,Los Angeles Angels,0-1,1.0,Chicago White Sox,1-0,8.0,0.0,0.0,0,Los Angeles Angels,Chicago White Sox,J. Kochanowicz (R),R,D. Martin (R),R,2.0,2.0,D. Martin,4.84,J. Kochanowicz,6.2,3,1
2025-03-27,San Francisco Giants,1-0,6.0,Cincinnati Reds,0-1,4.0,0.0,1.0,1,San Francisco Giants,Cincinnati Reds,R. Ray (L),L,N. Martinez (R),R,0.0,0.0,N. Martinez,6.0,R. Ray,4.19,3,0
2025-03-27,New York Mets,0-1,1.0,Houston Astros,1-0,3.0,0.0,0.0,0,New York Mets,Houston Astros,G. Canning (R),R,S. Arrighetti (R),R,0.0,0.0,S. Arrighetti,5.59,G. Canning,3.43,3,1
2025-03-27,Cleveland Guardians,1-0,7.0,Kansas City Royals,0-1,4.0,0.0,0.0,0,Cleveland Guardians,Kansas City Royals,T. Bibee (R),R,M. Wacha (R),R,0.0,0.0,M. Wacha,4.35,T. Bibee,5.85,3,1
2025-03-27,Detroit Tigers,0-1,4.0,Los Angeles Dodgers,3-0,5.0,0.0,0.0,0,Detroit Tigers,Los Angeles Dodgers,R. Olson (R),R,R. Sasaki (R),R,2.0,1.0,R. Sasaki,3.29,R. Olson,4.5,3,1
2025-03-27,Pittsburgh Pirates,0-1,4.0,Miami Marlins,1-0,5.0,0.0,0.0,0,Pittsburgh Pirates,Miami Marlins,A. Heaney (L),L,M. Meyer (R),R,0.0,0.0,M. Meyer,2.63,A. Heaney,2.13,3,0
2025-03-27,Milwaukee Brewers,0-1,2.0,New York Yankees,1-0,4.0,0.0,1.0,1,Milwaukee Brewers,New York Yankees,A. Civale (R),R,M. Stroman (R),R,1.0,2.0,M. Stroman,11.57,A. Civale,15.0,3,1
2025-03-27,Atlanta Braves,0-1,4.0,San Diego Padres,1-0,7.0,1.0,2.0,1,Atlanta Braves,San Diego Padres,A. Smith-Shawver (R),R,N. Pivetta (R),R,0.0,1.0,N. Pivetta,1.57,A. Smith-Shawver,4.61,3,1
2025-03-27,Minnesota Twins,0-1,3.0,St. Louis Cardinals,1-0,5.0,0.0,1.0,1,Minnesota Twins,St. Louis Cardinals,B. Ober (R),R,A. Pallante (R),R,1.0,0.0,A. Pallante,3.22,B. Ober,6.16,3,1
2025-03-27,Boston Red Sox,1-0,5.0,Texas Rangers,0-1,2.0,0.0,0.0,0,Boston Red Sox,Texas Rangers,R. Fitts (R),R,J. deGrom (R),R,0.0,0.0,J. deGrom,3.32,R. Fitts,3.18,3,1
2025-03-27,Baltimore Orioles,1-0,12.0,Toronto Blue Jays,0-1,2.0,1.0,0.0,1,Baltimore Orioles,Toronto Blue Jays,T. Sugano (R),R,C. Bassitt (R),R,1.0,2.0,C. Bassitt,0.77,T. Sugano,3.43,3,1
2025-03-27,Philadelphia Phillies,1-0,7.0,Washington Nationals,0-1,3.0,0.0,0.0,0,Philadelphia Phillies,Washington Nationals,A. Nola (R),R,M. Parker (L),L,0.0,0.0,M. Parker,1.85,A. Nola,6.65,3,0
2025-03-28,Chicago Cubs,1-3,1.0,Arizona Diamondbacks,1-1,8.0,0.0,0.0,0,Chicago Cubs,Arizona Diamondbacks,M. Boyd (L),L,E. Rodriguez (L),L,0.0,0.0,E. Rodriguez,4.09,M. Boyd,2.01,4,1
2025-03-28,New York Mets,1-1,3.0,Houston Astros,1-1,1.0,0.0,0.0,0,New York Mets,Houston Astros,G. Canning (R),R,S. Arrighetti (R),R,0.0,0.0,S. Arrighetti,5.59,G. Canning,3.43,4,1
2025-03-28,Detroit Tigers,0-2,5.0,Los Angeles Dodgers,4-0,8.0,0.0,0.0,0,Detroit Tigers,Los Angeles Dodgers,R. Olson (R),R,R. Sasaki (R),R,2.0,1.0,R. Sasaki,3.29,R. Olson,4.5,4,1
2025-03-28,Pittsburgh Pirates,1-1,4.0,Miami Marlins,1-1,3.0,0.0,0.0,0,Pittsburgh Pirates,Miami Marlins,A. Heaney (L),L,M. Meyer (R),R,0.0,0.0,M. Meyer,2.63,A. Heaney,2.13,4,0
2025-03-28,Atlanta Braves,0-2,3.0,San Diego Padres,2-0,4.0,0.0,1.0,1,Atlanta Braves,San Diego Padres,A. Smith-Shawver (R),R,N. Pivetta (R),R,0.0,1.0,N. Pivetta,1.57,A. Smith-Shawver,4.61,4,1
2025-03-28,Colorado Rockies,0-1,2.0,Tampa Bay Rays,1-0,3.0,0.0,0.0,0,Colorado Rockies,Tampa Bay Rays,R. Feltner (R),R,T. Bradley (R),R,0.0,2.0,T. Bradley,5.24,R. Feltner,4.82,4,1
2025-03-28,Boston Red Sox,1-1,1.0,Texas Rangers,1-1,4.0,0.0,0.0,0,Boston Red Sox,Texas Rangers,R. Fitts (R),R,J. deGrom (R),R,0.0,0.0,J. deGrom,3.32,R. Fitts,3.18,4,1
2025-03-28,Baltimore Orioles,1-1,2.0,Toronto Blue Jays,1-1,8.0,0.0,0.0,0,Baltimore Orioles,Toronto Blue Jays,T. Sugano (R),R,C. Bassitt (R),R,1.0,2.0,C. Bassitt,0.77,T. Sugano,3.43,4,1
2025-03-29,Chicago Cubs,2-3,4.0,Arizona Diamondbacks,1-2,3.0,0.0,0.0,0,Chicago Cubs,Arizona Diamondbacks,M. Boyd (L),L,E. Rodriguez (L),L,0.0,0.0,E. Rodriguez,4.09,M. Boyd,2.01,5,1
2025-03-29,Los Angeles Angels,1-1,1.0,Chicago White Sox,1-1,0.0,0.0,0.0,0,Los Angeles Angels,Chicago White Sox,J. Kochanowicz (R),R,D. Martin (R),R,2.0,2.0,D. Martin,4.84,J. Kochanowicz,6.2,5,1
2025-03-29,San Francisco Giants,1-1,2.0,Cincinnati Reds,1-1,3.0,0.0,0.0,0,San Francisco Giants,Cincinnati Reds,R. Ray (L),L,N. Martinez (R),R,0.0,0.0,N. Martinez,6.0,R. Ray,4.19,5,0
2025-03-29,New York Mets,1-2,1.0,Houston Astros,2-1,2.0,0.0,0.0,0,New York Mets,Houston Astros,G. Canning (R),R,S. Arrighetti (R),R,0.0,0.0,S. Arrighetti,5.59,G. Canning,3.43,5,1
2025-03-29,Cleveland Guardians,1-1,3.0,Kansas City Royals,1-1,4.0,0.0,0.0,0,Cleveland Guardians,Kansas City Royals,T. Bibee (R),R,M. Wacha (R),R,0.0,0.0,M. Wacha,4.35,T. Bibee,5.85,5,1
2025-03-29,Detroit Tigers,0-3,3.0,Los Angeles Dodgers,5-0,7.0,2.0,1.0,1,Detroit Tigers,Los Angeles Dodgers,R. Olson (R),R,R. Sasaki (R),R,2.0,1.0,R. Sasaki,3.29,R. Olson,4.5,5,1
2025-03-29,Pittsburgh Pirates,1-2,4.0,Miami Marlins,2-1,5.0,1.0,0.0,1,Pittsburgh Pirates,Miami Marlins,A. Heaney (L),L,M. Meyer (R),R,0.0,0.0,M. Meyer,2.63,A. Heaney,2.13,5,0
2025-03-29,Milwaukee Brewers,0-2,9.0,New York Yankees,2-0,20.0,0.0,4.0,1,Milwaukee Brewers,New York Yankees,A. Civale (R),R,M. Stroman (R),R,1.0,2.0,M. Stroman,11.57,A. Civale,15.0,5,1
2025-03-29,Atlanta Braves,0-3,0.0,San Diego Padres,3-0,1.0,0.0,0.0,0,Atlanta Braves,San Diego Padres,A. Smith-Shawver (R),R,N. Pivetta (R),R,0.0,1.0,N. Pivetta,1.57,A. Smith-Shawver,4.61,5,1
2025-03-29,Minnesota Twins,0-2,1.0,St. Louis Cardinals,2-0,5.0,0.0,1.0,1,Minnesota Twins,St. Louis Cardinals,B. Ober (R),R,A. Pallante (R),R,1.0,0.0,A. Pallante,3.22,B. Ober,6.16,5,1
2025-03-29,Colorado Rockies,1-1,2.0,Tampa Bay Rays,1-1,1.0,0.0,0.0,0,Colorado Rockies,Tampa Bay Rays,R. Feltner (R),R,T. Bradley (R),R,0.0,2.0,T. Bradley,5.24,R. Feltner,4.82,5,1
2025-03-29,Boston Red Sox,1-2,3.0,Texas Rangers,2-1,4.0,0.0,2.0,1,Boston Red Sox,Texas Rangers,R. Fitts (R),R,J. deGrom (R),R,0.0,0.0,J. deGrom,3.32,R. Fitts,3.18,5,1
2025-03-29,Baltimore Orioles,2-1,9.0,Toronto Blue Jays,1-2,5.0,2.0,2.0,1,Baltimore Orioles,Toronto Blue Jays,T. Sugano (R),R,C. Bassitt (R),R,1.0,2.0,C. Bassitt,0.77,T. Sugano,3.43,5,1
2025-03-29,Philadelphia Phillies,2-0,11.0,Washington Nationals,0-2,6.0,0.0,0.0,0,Philadelphia Phillies,Washington Nationals,A. Nola (R),R,M. Parker (L),L,0.0,0.0,M. Parker,1.85,A. Nola,6.65,5,0
2025-03-30,Chicago Cubs,2-4,6.0,Arizona Diamondbacks,2-2,10.0,0.0,0.0,0,Chicago Cubs,Arizona Diamondbacks,M. Boyd (L),L,E. Rodriguez (L),L,0.0,0.0,E. Rodriguez,4.09,M. Boyd,2.01,6,1
2025-03-30,Los Angeles Angels,2-1,3.0,Chicago White Sox,1-2,2.0,2.0,2.0,1,Los Angeles Angels,Chicago White Sox,J. Kochanowicz (R),R,D. Martin (R),R,2.0,2.0,D. Martin,4.84,J. Kochanowicz,6.2,6,1
2025-03-30,San Francisco Giants,2-1,6.0,Cincinnati Reds,1-2,3.0,0.0,0.0,0,San Francisco Giants,Cincinnati Reds,R. Ray (L),L,N. Martinez (R),R,0.0,0.0,N. Martinez,6.0,R. Ray,4.19,6,0
2025-03-30,Cleveland Guardians,2-1,6.0,Kansas City Royals,1-2,2.0,0.0,0.0,0,Cleveland Guardians,Kansas City Royals,T. Bibee (R),R,M. Wacha (R),R,0.0,0.0,M. Wacha,4.35,T. Bibee,5.85,6,1
2025-03-30,Pittsburgh Pirates,1-3,2.0,Miami Marlins,3-1,3.0,0.0,0.0,0,Pittsburgh Pirates,Miami Marlins,A. Heaney (L),L,M. Meyer (R),R,0.0,0.0,M. Meyer,2.63,A. Heaney,2.13,6,0
2025-03-30,Milwaukee Brewers,0-3,3.0,New York Yankees,3-0,12.0,1.0,2.0,1,Milwaukee Brewers,New York Yankees,A. Civale (R),R,M. Stroman (R),R,1.0,2.0,M. Stroman,11.57,A. Civale,15.0,6,1
2025-03-30,Atlanta Braves,0-4,0.0,San Diego Padres,4-0,5.0,0.0,1.0,1,Atlanta Braves,San Diego Padres,A. Smith-Shawver (R),R,N. Pivetta (R),R,0.0,1.0,N. Pivetta,1.57,A. Smith-Shawver,4.61,6,1
2025-03-30,Minnesota Twins,0-3,2.0,St. Louis Cardinals,3-0,9.0,1.0,0.0,1,Minnesota Twins,St. Louis Cardinals,B. Ober (R),R,A. Pallante (R),R,1.0,0.0,A. Pallante,3.22,B. Ober,6.16,6,1
2025-03-30,Colorado Rockies,1-2,4.0,Tampa Bay Rays,2-1,6.0,0.0,2.0,1,Colorado Rockies,Tampa Bay Rays,R. Feltner (R),R,T. Bradley (R),R,0.0,2.0,T. Bradley,5.24,R. Feltner,4.82,6,1
2025-03-30,Boston Red Sox,1-3,2.0,Texas Rangers,3-1,3.0,0.0,0.0,0,Boston Red Sox,Texas Rangers,R. Fitts (R),R,J. deGrom (R),R,0.0,0.0,J. deGrom,3.32,R. Fitts,3.18,6,1
2025-03-30,Baltimore Orioles,2-2,1.0,Toronto Blue Jays,2-2,3.0,1.0,2.0,1,Baltimore Orioles,Toronto Blue Jays,T. Sugano (R),R,C. Bassitt (R),R,1.0,2.0,C. Bassitt,0.77,T. Sugano,3.43,6,1
2025-03-30,Philadelphia Phillies,2-1,1.0,Washington Nationals,1-2,5.0,0.0,0.0,0,Philadelphia Phillies,Washington Nationals,A. Nola (R),R,M. Parker (L),L,0.0,0.0,M. Parker,1.85,A. Nola,6.65,6,0
2025-03-31,Boston Red Sox,1-4,5.0,Baltimore Orioles,3-2,8.0,0.0,4.0,1,Boston Red Sox,Baltimore Orioles,T. Houck (R),R,C. Morton (R),R,2.0,1.0,C. Morton,8.84,T. Houck,9.16,0,1
2025-03-31,Minnesota Twins,0-4,0.0,Chicago White Sox,2-2,9.0,0.0,3.0,1,Minnesota Twins,Chicago White Sox,P. Lopez (R),R,S. Burke (R),R,1.0,0.0,S. Burke,7.56,P. Lopez,1.62,0,1
2025-03-31,Texas Rangers,3-2,3.0,Cincinnati Reds,2-2,14.0,0.0,3.0,1,Texas Rangers,Cincinnati Reds,J. Leiter (R),R,H. Greene (R),R,0.0,0.0,H. Greene,0.98,J. Leiter,0.9,0,1
2025-03-31,San Francisco Giants,3-1,7.0,Houston Astros,2-2,2.0,0.0,0.0,0,San Francisco Giants,Houston Astros,L. Roupp (R),R,F. Valdez (L),L,2.0,0.0,F. Valdez,4.91,L. Roupp,4.8,0,0
2025-03-31,Atlanta Braves,0-5,1.0,Los Angeles Dodgers,6-0,6.0,0.0,2.0,1,Atlanta Braves,Los Angeles Dodgers,B. Elder (R),R,B. Snell (L),L,2.0,0.0,B. Snell,2.0,B. Elder,7.2,0,0
2025-03-31,New York Mets,2-2,10.0,Miami Marlins,3-2,4.0,0.0,1.0,1,New York Mets,Miami Marlins,C. Holmes (R),R,C. Gillispie (R),R,1.0,0.0,C. Gillispie,6.63,C. Holmes,3.66,0,1
2025-03-31,Kansas City Royals,2-2,11.0,Milwaukee Brewers,0-4,1.0,3.0,0.0,1,Kansas City Royals,Milwaukee Brewers,C. Ragans (L),L,F. Peralta (R),R,0.0,1.0,F. Peralta,1.91,C. Ragans,3.58,0,0
2025-03-31,Colorado Rockies,1-3,1.0,Philadelphia Phillies,3-1,6.0,0.0,0.0,0,Colorado Rockies,Philadelphia Phillies,A. Senzatela (R),R,T. Walker (R),R,0.0,0.0,T. Walker,2.3,A. Senzatela,5.89,0,1
2025-03-31,Cleveland Guardians,2-2,2.0,San Diego Padres,5-0,7.0,1.0,0.0,1,Cleveland Guardians,San Diego Padres,B. Lively (R),R,D. Cease (R),R,0.0,0.0,D. Cease,6.64,B. Lively,4.87,0,1
2025-03-31,Detroit Tigers,1-3,9.0,Seattle Mariners,2-3,6.0,6.0,0.0,1,Detroit Tigers,Seattle Mariners,T. Skubal (L),L,L. Castillo (R),R,0.0,0.0,L. Castillo,4.22,T. Skubal,2.66,0,0
2025-03-31,Los Angeles Angels,3-1,5.0,St. Louis Cardinals,3-1,4.0,0.0,1.0,1,Los Angeles Angels,St. Louis Cardinals,Y. Kikuchi (L),L,S. Gray (R),R,1.0,0.0,S. Gray,3.13,Y. Kikuchi,4.13,0,0
2025-03-31,Pittsburgh Pirates,1-4,1.0,Tampa Bay Rays,3-1,6.0,0.0,0.0,0,Pittsburgh Pirates,Tampa Bay Rays,P. Skenes (R),R,R. Pepiot (R),R,0.0,0.0,R. Pepiot,4.91,P. Skenes,2.96,0,1
2025-03-31,Washington Nationals,1-3,2.0,Toronto Blue Jays,3-2,5.0,0.0,0.0,0,Washington Nationals,Toronto Blue Jays,M. Gore (L),L,E. Lucas (L),L,0.0,1.0,E. Lucas,4.7,M. Gore,3.52,0,1
2025-04-01,Minnesota Twins,1-4,8.0,Chicago White Sox,2-3,3.0,0.0,0.0,0,Minnesota Twins,Chicago White Sox,P. Lopez (R),R,S. Burke (R),R,1.0,0.0,S. Burke,7.56,P. Lopez,1.62,1,1
2025-04-01,Texas Rangers,4-2,1.0,Cincinnati Reds,2-3,0.0,1.0,0.0,1,Texas Rangers,Cincinnati Reds,J. Leiter (R),R,H. Greene (R),R,0.0,0.0,H. Greene,0.98,J. Leiter,0.9,1,1
2025-04-01,San Francisco Giants,4-1,3.0,Houston Astros,2-3,1.0,0.0,0.0,0,San Francisco Giants,Houston Astros,L. Roupp (R),R,F. Valdez (L),L,2.0,0.0,F. Valdez,4.91,L. Roupp,4.8,1,0
2025-04-01,Atlanta Braves,0-6,1.0,Los Angeles Dodgers,7-0,3.0,0.0,0.0,0,Atlanta Braves,Los Angeles Dodgers,B. Elder (R),R,B. Snell (L),L,2.0,0.0,B. Snell,2.0,B. Elder,7.2,1,0
2025-04-01,New York Mets,2-3,2.0,Miami Marlins,4-2,4.0,0.0,2.0,1,New York Mets,Miami Marlins,C. Holmes (R),R,C. Gillispie (R),R,1.0,0.0,C. Gillispie,6.63,C. Holmes,3.66,1,1
2025-04-01,Kansas City Royals,2-3,0.0,Milwaukee Brewers,1-4,5.0,0.0,0.0,0,Kansas City Royals,Milwaukee Brewers,C. Ragans (L),L,F. Peralta (R),R,0.0,1.0,F. Peralta,1.91,C. Ragans,3.58,1,0
2025-04-01,Arizona Diamondbacks,3-2,7.0,New York Yankees,3-1,5.0,0.0,0.0,0,Arizona Diamondbacks,New York Yankees,M. Kelly (R),R,C. Carrasco (R),R,0.0,4.0,C. Carrasco,5.94,M. Kelly,5.57,1,1
2025-04-01,Cleveland Guardians,2-3,0.0,San Diego Padres,6-0,7.0,0.0,0.0,0,Cleveland Guardians,San Diego Padres,B. Lively (R),R,D. Cease (R),R,0.0,0.0,D. Cease,6.64,B. Lively,4.87,1,1
2025-04-01,Detroit Tigers,2-3,4.0,Seattle Mariners,2-4,1.0,2.0,0.0,1,Detroit Tigers,Seattle Mariners,T. Skubal (L),L,L. Castillo (R),R,0.0,0.0,L. Castillo,4.22,T. Skubal,2.66,1,0
2025-04-01,Los Angeles Angels,4-1,9.0,St. Louis Cardinals,3-2,7.0,0.0,0.0,0,Los Angeles Angels,St. Louis Cardinals,Y. Kikuchi (L),L,S. Gray (R),R,1.0,0.0,S. Gray,3.13,Y. Kikuchi,4.13,1,0
2025-04-01,Pittsburgh Pirates,1-5,0.0,Tampa Bay Rays,4-1,7.0,0.0,3.0,1,Pittsburgh Pirates,Tampa Bay Rays,P. Skenes (R),R,R. Pepiot (R),R,0.0,0.0,R. Pepiot,4.91,P. Skenes,2.96,1,1
2025-04-01,Washington Nationals,1-4,3.0,Toronto Blue Jays,4-2,5.0,0.0,0.0,0,Washington Nationals,Toronto Blue Jays,M. Gore (L),L,E. Lucas (L),L,0.0,1.0,E. Lucas,4.7,M. Gore,3.52,1,1
2025-04-02,Boston Red Sox,2-4,3.0,Baltimore Orioles,3-3,0.0,0.0,0.0,0,Boston Red Sox,Baltimore Orioles,T. Houck (R),R,C. Morton (R),R,2.0,1.0,C. Morton,8.84,T. Houck,9.16,2,1
